"sites","temperature_..C.","oxygen_.µmol.kg.","date","longitude","latitude","depth","depth_layer","station"
"TARA_158_25.00",6.7349,304.0473,"2013-06-03 15:27:00",0.3964,67.161,25,"EPI","TARA_158"
"TARA_072_800.00",4.6417,143.2736,"2010-10-06 07:58:00",-17.9034,-8.7986,800,"MES","TARA_072"
"TARA_137_375.00",8.8871,0.8323,"2011-12-03 14:31:00",-116.6433,14.2025,375,"MES","TARA_137"
"TARA_209_5.00",2.4961,323.9016,"2013-10-23 10:25:00",-53.0106,64.7127,5,"EPI","TARA_209"
"TARA_168_5.00",7.4877,299.0073,"2013-07-01 03:20:00",44.0775,72.5128,5,"EPI","TARA_168"
"TARA_133_45.00",13.8745,236.1591,"2011-10-19 00:09:00",-127.7499,35.4002,45,"EPI","TARA_133"
"TARA_155_751.00",8.9236,208.7618,"2013-05-24 13:15:00",-16.8345,54.5742,751,"MES","TARA_155"
"TARA_173_35.00",-1.2978,348.0006,"2013-07-08 11:00:00",79.0604,78.9354,35,"EPI","TARA_173"
"TARA_031_5.00",25.0281,189.9168,"2010-01-09 07:15:00",34.835,27.16,5,"EPI","TARA_031"
"TARA_180_30.00",-1.5335,356.2239,"2013-07-18 08:27:00",76.2096,74.8283,30,"EPI","TARA_180"
"TARA_123_150.00",21.9737,158.1841,"2011-08-01 17:52:00",-140.2845,-8.9109,150,"EPI","TARA_123"
"TARA_084_5.00",1.9034,338.526,"2011-01-03 11:05:00",-60.6476,-60.2287,5,"EPI","TARA_084"
"TARA_173_5.00",-0.1603,385.2808,"2013-07-08 04:12:00",79.4201,78.9564,5,"EPI","TARA_173"
"TARA_189_299.00",1.594,293.889,"2013-08-28 00:47:00",116.4105,78.0391,299,"MES","TARA_189"
"22 (Section GA03, Cruise KN204)_123.80",19.517,140.1,"2011-12-07 11:25:00",-29.3832,19.4334,123.8,"EPI","22 (Section GA03, Cruise KN204)"
"TARA_206_411.00",3.0355,230.0861,"2013-10-12 18:02:00",-53.5127,70.9433,411,"MES","TARA_206"
"TARA_175_5.00",1.3657,369.2898,"2013-07-10 03:58:00",66.3435,79.2233,5,"EPI","TARA_175"
"TARA_180_5.00",2.5079,357.1649,"2013-07-18 02:04:00",76.1478,74.8023,5,"EPI","TARA_180"
"109_4004.00",1.1582,135.0573,"2011-05-22 00:00:00",-133.26,18.04,4004,"BAT","109"
"144_4003.00",2.1123,223.5273,"2011-08-07 00:00:00",-23.69,29.97,4003,"BAT","144"
"TARA_201_36.00",-0.4093,343.8778,"2013-09-30 22:33:00",-85.6208,74.3386,36,"EPI","TARA_201"
"TARA_067_5.00",13.0432,252.6315,"2010-09-07 06:19:00",17.7103,-32.2401,5,"EPI","TARA_067"
"TARA_168_NA",3.1072,303.3191,"2013-07-02 04:24:00",44.0552,72.5199,NA,"EPI","TARA_168"
"TARA_175_NA",1.0257,314.7167,"2013-07-11 06:13:00",66.2954,79.3349,NA,"EPI","TARA_175"
"TARA_041_60.00",27.3742,164.4401,"2010-03-30 10:56:00",70.0128,14.5536,60,"EPI","TARA_041"
"TARA_064_5.00",22.2414,210.2395,"2010-07-07 04:48:00",37.9889,-29.5019,5,"EPI","TARA_064"
"TARA_070_5.00",19.77,215.2007,"2010-09-21 06:55:00",-3.1759,-20.4091,5,"EPI","TARA_070"
"TARA_142_5.00",24.9846,195.5412,"2012-01-09 13:41:00",-88.394,25.5264,5,"EPI","TARA_142"
"24 (Section GA03, Cruise KN204)_285.90",12.667,70.5,"2011-12-10 08:27:00",-24.5,17.4,285.9,"MES","24 (Section GA03, Cruise KN204)"
"12 (Section GA02, Cruise PE319)_10.00",15.31,259.9,"2010-05-12 20:39:00",-39.658,46.312,10,"EPI","12 (Section GA02, Cruise PE319)"
"TARA_038_340.00",14.9014,2.9502,"2010-03-16 06:13:00",64.5638,19.0351,340,"MES","TARA_038"
"TARA_175_199.00",1.4769,296.228,"2013-07-10 11:00:00",66.4827,79.2026,199,"EPI","TARA_175"
"TARA_065_30.00",21.7282,207.4829,"2010-07-12 11:03:00",26.3048,-35.2421,30,"EPI","TARA_065"
"TARA_122_600.00",7.134,40.6107,"2011-07-27 19:28:00",-139.2393,-8.9729,600,"MES","TARA_122"
"TARA_122_115.00",24.6614,178.3692,"2011-07-28 17:15:00",-139.1394,-9.0063,115,"EPI","TARA_122"
"TARA_178_5.00",1.3258,348.1967,"2013-07-15 02:11:00",73.2057,77.1604,5,"EPI","TARA_178"
"TARA_078_800.00",5.8232,215.9547,"2010-11-05 12:33:00",-43.2915,-30.1471,800,"MES","TARA_078"
"TARA_194_5.00",-0.5853,368.6626,"2013-09-11 20:00:00",-168.1333,73.3833,5,"EPI","TARA_194"
"TARA_018_5.00",21.4867,208.245,"2009-11-02 08:13:00",14.2574,35.759,5,"EPI","TARA_018"
"TARA_025_50.00",15.182,229.9089,"2009-11-23 13:52:00",19.3997,39.3991,50,"EPI","TARA_025"
"10 (Section GA02, Cruise PE319)_10.00",10.512,284.6,"2010-05-10 12:13:00",-42.4467,49.7225,10,"EPI","10 (Section GA02, Cruise PE319)"
"146_4002.00",2.0997,221.5695,"2011-10-07 00:00:00",-17.2662,32.0788,4002,"BAT","146"
"TARA_085_5.00",0.7316,344.8123,"2011-01-06 10:38:00",-49.529,-62.0385,5,"EPI","TARA_085"
"TARA_142_640.00",9.7351,108.2313,"2012-01-10 14:49:00",-88.45,25.6236,640,"MES","TARA_142"
"TARA_111_350.00",10.6989,4.7047,"2011-06-01 16:00:00",-100.6715,-16.9486,350,"MES","TARA_111"
"TARA_076_800.00",4.6643,191.4132,"2010-10-17 09:05:00",-35.1794,-20.9315,800,"MES","TARA_076"
"TARA_152_800.00",10.1677,174.8513,"2012-03-19 14:59:00",-16.8714,43.7182,800,"MES","TARA_152"
"TARA_141_5.00",27.1673,195.5029,"2011-12-30 13:35:00",-80.0454,9.8481,5,"EPI","TARA_141"
"TARA_023_55.00",15.1806,224.2644,"2009-11-18 13:50:00",17.7252,42.1735,55,"EPI","TARA_023"
"9 (Section GA10, Cruise D357)_6.00",18.187,236,"2010-11-10 12:29:00",16.0769,-34.8953,6,"EPI","9 (Section GA10, Cruise D357)"
"GT3 (Section GP13, Cruise TAN1109)_4580.00",1.065,195.3,"2011-06-11 14:02:00",-169.991,-32.4875,4580,"ABY","GT3 (Section GP13, Cruise TAN1109)"
"TARA_188_17.00",-1.6472,373.061,"2013-08-15 07:54:00",91.6084,78.3555,17,"EPI","TARA_188"
"TARA_206_5.00",1.4453,328.5466,"2013-10-12 11:09:00",-53.5989,70.9574,5,"EPI","TARA_206"
"TARA_068_700.00",7.3214,194.4342,"2010-09-13 13:02:00",4.6685,-31.0198,700,"MES","TARA_068"
"TARA_096_5.00",23.8453,204.5418,"2011-03-24 13:00:00",-101.1604,-29.7238,5,"EPI","TARA_096"
"TARA_034_60.00",27.5588,175.509,"2010-01-20 11:50:00",39.8567,18.4417,60,"EPI","TARA_034"
"TARA_100_177.00",12.8064,3.4942,"2011-04-16 13:03:00",-96.0232,-12.9794,177,"EPI","TARA_100"
"TARA_085_790.00",0.4568,203.7715,"2011-01-07 10:39:00",-49.5017,-61.9689,790,"MES","TARA_085"
"TARA_193_5.00",2.4534,339.4475,"2013-09-08 02:45:00",174.9916,71.0704,5,"EPI","TARA_193"
"TARA_109_5.00",27.4975,199.6911,"2011-05-12 14:00:00",-84.5766,1.9928,5,"EPI","TARA_109"
"TARA_076_5.00",23.3748,206.2319,"2010-10-16 09:55:00",-35.1803,-20.9354,5,"EPI","TARA_076"
"TARA_208_5.00",3.1965,303.326,"2013-10-20 10:34:00",-51.5086,69.1136,5,"EPI","TARA_208"
"TARA_042_5.00",30.1278,188.7957,"2010-04-04 02:47:00",73.8955,6.2001,5,"EPI","TARA_042"
"TARA_066_5.00",15.0134,239.9373,"2010-07-15 12:22:00",17.9189,-34.9449,5,"EPI","TARA_066"
"TARA_112_696.00",5.7491,200.4706,"2011-06-15 18:43:00",-129.5986,-23.2232,696,"MES","TARA_112"
"TARA_082_5.00",7.5794,303.1477,"2010-12-06 10:33:00",-58.2902,-47.1863,5,"EPI","TARA_082"
"TARA_196_5.00",2.5694,336.0408,"2013-09-14 17:30:00",-154.9101,71.8895,5,"EPI","TARA_196"
"TARA_032_80.00",26.1292,181.501,"2010-01-11 14:17:00",37.245,23.4183,80,"EPI","TARA_032"
"TARA_034_5.00",27.635,183.8462,"2010-01-20 04:27:00",39.875,18.3967,5,"EPI","TARA_034"
"TARA_102_480.00",9.1374,5.148,"2011-04-22 12:08:00",-85.1678,-5.261,480,"MES","TARA_102"
"TARA_068_50.00",16.7488,231.9774,"2010-09-14 13:30:00",4.6802,-31.027,50,"EPI","TARA_068"
"TARA_094_5.00",21.1216,219.015,"2011-03-18 11:57:00",-87.0693,-32.7971,5,"EPI","TARA_094"
"9 (Section GA10, Cruise D357)_41.30",18.042,236.3902,"2010-11-10 12:29:00",16.0769,-34.8953,41.3,"EPI","9 (Section GA10, Cruise D357)"
"11 (Section GA02, Cruise PE319)_9.00",15.003,264.8,"2010-05-11 13:26:00",-39.399,47.8007,9,"EPI","11 (Section GA02, Cruise PE319)"
"9 (Section GA10, Cruise D357)_60.90",18.005,234.2439,"2010-11-10 12:29:00",16.0769,-34.8953,60.9,"EPI","9 (Section GA10, Cruise D357)"
"20_4001.00",1.5802,227.6145,"2011-05-01 00:00:00",-30.19,-9.12,4001,"BAT","20"
"TARA_078_5.00",20.0778,221.1385,"2010-11-04 10:24:00",-43.2899,-30.1367,5,"EPI","TARA_078"
"TARA_189_20.00",-0.6071,371.0584,"2013-08-27 11:40:00",116.6556,77.9668,20,"EPI","TARA_189"
"TARA_022_5.00",17.2988,221.5478,"2009-11-16 08:16:00",17.4155,39.8386,5,"EPI","TARA_022"
"TARA_036_5.00",25.6814,209.8071,"2010-03-12 06:06:00",63.5047,20.8183,5,"EPI","TARA_036"
"TARA_025_5.00",18.3192,217.8098,"2009-11-23 09:12:00",19.3905,39.3888,5,"EPI","TARA_025"
"TARA_064_1000.00",7.552,190.8887,"2010-07-07 12:13:00",37.9599,-29.5046,1000,"MES","TARA_064"
"TARA_064_65.00",22.2153,207.9566,"2010-07-08 06:21:00",37.9117,-29.5333,65,"EPI","TARA_064"
"TARA_142_125.00",24.9616,193.3822,"2012-01-09 20:17:00",-88.4532,25.6168,125,"EPI","TARA_142"
"TARA_037_600.00",11.984,2.8163,"2010-03-12 17:08:00",63.5851,20.8457,600,"MES","TARA_037"
"TARA_132_5.00",25.1646,197.7245,"2011-10-04 17:46:00",-158.9958,31.5213,5,"EPI","TARA_132"
"TARA_137_40.00",20.5857,123.201,"2011-12-02 20:42:00",-116.6468,14.2075,40,"EPI","TARA_137"
"TARA_098_488.00",7.9684,154.6701,"2011-04-04 13:55:00",-111.6906,-25.8076,488,"MES","TARA_098"
"TARA_112_155.00",21.9494,206.4346,"2011-06-15 00:55:00",-129.4997,-23.2189,155,"EPI","TARA_112"
"TARA_149_740.00",10.4963,152.7195,"2012-03-01 18:50:00",-49.8233,34.0771,740,"MES","TARA_149"
"TARA_145_590.00",5.1942,232.6606,"2012-02-02 18:36:00",-70.0343,39.2392,590,"MES","TARA_145"
"TARA_039_270.00",15.5538,3.124,"2010-03-20 08:15:00",66.3896,18.7341,270,"MES","TARA_039"
"10 (Section GA03, Cruise KN199-4)_101.00",14.51,63.5,"2010-10-30 03:06:00",-20.8167,17.3516,101,"EPI","10 (Section GA03, Cruise KN199-4)"
"TARA_045_5.00",30.5935,186.0215,"2010-04-13 03:21:00",71.6428,0.0033,5,"EPI","TARA_045"
"TARA_056_5.00",27.2961,193.165,"2010-06-26 07:05:00",43.2965,-15.3424,5,"EPI","TARA_056"
"TARA_041_5.00",29.1515,187.3066,"2010-03-30 02:47:00",69.9776,14.6059,5,"EPI","TARA_041"
"TARA_076_150.00",21.166,200.3246,"2010-10-16 16:58:00",-35.3498,-21.0292,150,"EPI","TARA_076"
"TARA_046_5.00",30.1247,185.755,"2010-04-15 02:01:00",73.161,-0.6625,5,"EPI","TARA_046"
"TARA_072_5.00",25.0644,199.135,"2010-10-05 08:00:00",-17.9099,-8.7789,5,"EPI","TARA_072"
"TARA_191_5.00",1.4888,340.4438,"2013-09-02 22:37:00",160.9383,71.5955,5,"EPI","TARA_191"
"TARA_111_5.00",22.7818,209.1003,"2011-05-31 14:25:00",-100.6335,-16.9601,5,"EPI","TARA_111"
"TARA_149_5.00",18.8255,220.9492,"2012-03-01 10:48:00",-49.9181,34.1132,5,"EPI","TARA_149"
"TARA_133_650.00",4.9189,9.4648,"2011-10-19 19:27:00",-127.7268,35.2698,650,"MES","TARA_133"
"TARA_065_850.00",8.3303,199.726,"2010-07-12 06:46:00",26.2905,-35.1889,850,"MES","TARA_065"
"TARA_110_380.00",10.0824,2.4398,"2011-05-22 13:20:00",-84.6141,-1.8902,380,"MES","TARA_110"
"TARA_137_5.00",26.4786,195.772,"2011-12-02 14:12:00",-116.6261,14.2035,5,"EPI","TARA_137"
"TARA_078_120.00",19.3234,216.6547,"2010-11-04 18:16:00",-43.2705,-30.1484,120,"EPI","TARA_078"
"TARA_140_5.00",26.5557,205.411,"2011-12-21 16:20:00",-79.3017,7.4122,5,"EPI","TARA_140"
"TARA_004_40.00",16.3584,NA,"2009-09-15 18:00:00",-6.5669,36.5533,40,"EPI","TARA_004"
"TARA_155_5.00",11.0955,271.0641,"2013-05-24 05:36:00",-16.9377,54.5305,5,"EPI","TARA_155"
"TARA_163_499.00",0.0995,315.3721,"2013-06-10 08:38:00",1.3648,76.1246,499,"MES","TARA_163"
"2 (Section GA10, Cruise D357)_6.40",17.944,237.9512,"2010-10-20 10:08:00",14.9064,-35.3669,6.4,"EPI","2 (Section GA10, Cruise D357)"
"9 (Section GA10, Cruise D357)_101.10",17.978,232.8781,"2010-11-10 12:29:00",16.0769,-34.8953,101.1,"EPI","9 (Section GA10, Cruise D357)"
"10 (Section GA02, Cruise PE319)_75.00",11.424,249.4,"2010-05-10 12:13:00",-42.4467,49.7225,75,"EPI","10 (Section GA02, Cruise PE319)"
"TARA_038_25.00",25.6077,189.0233,"2010-03-15 11:18:00",64.5126,19.0284,25,"EPI","TARA_038"
"TARA_109_30.00",26.0192,199.8303,"2011-05-12 22:15:00",-84.5546,2.0299,30,"EPI","TARA_109"
"TARA_102_40.00",19.7812,104.9968,"2011-04-22 21:13:00",-85.2732,-5.2669,40,"EPI","TARA_102"
"GT15 (Section GP13, Cruise TAN1109)_5601.00",1.153,198.8,"2011-06-17 20:11:00",-158.028,-32.5125,5601,"ABY","GT15 (Section GP13, Cruise TAN1109)"
"6 (Section GA10, Cruise D357)_21.40",10.55,276.1951,"2010-10-29 18:23:00",0.8876,-40.0194,21.4,"EPI","6 (Section GA10, Cruise D357)"
"35_3662.00",2.0761,220.6555,"2011-01-27 00:00:00",-11.8,-28.62,3662,"BAT","35"
"TARA_109_380.00",11.1424,2.2646,"2011-05-13 16:08:00",-84.5546,2.0649,380,"MES","TARA_109"
"TARA_146_640.00",10.6855,137.3344,"2012-02-16 12:01:00",-71.2907,34.6663,640,"MES","TARA_146"
"TARA_145_5.00",13.9937,236.7893,"2012-02-02 11:52:00",-70.0377,39.2305,5,"EPI","TARA_145"
"TARA_138_60.00",17.292,41.5251,"2011-12-11 13:27:00",-102.9538,6.3378,60,"EPI","TARA_138"
"TARA_082_40.00",7.1549,306.1555,"2010-12-06 18:58:00",-57.9446,-47.2007,40,"EPI","TARA_082"
"TARA_042_80.00",27.9561,137.9981,"2010-04-04 09:50:00",73.9067,5.9998,80,"EPI","TARA_042"
