"sites","temperature_..C.","oxygen_.µmol.kg.","date","longitude","latitude","depth","depth_layer","station"
"TARA_148_5.00",20.4812,213.6889,"2012-02-24 11:40:00",-64.2489,31.6948,5,"EPI","TARA_148"
"TARA_052_75.00",25.2126,194.8177,"2010-05-17 11:42:00",53.9601,-16.9534,75,"EPI","TARA_052"
"TARA_151_5.00",17.303,232.2873,"2012-03-09 08:59:00",-29.023,36.1715,5,"EPI","TARA_151"
"TARA_150_40.00",17.5856,229.0979,"2012-03-05 17:34:00",-37.1526,35.8427,40,"EPI","TARA_150"
"TARA_052_5.00",27.9565,191.6281,"2010-05-17 04:10:00",53.9801,-16.957,5,"EPI","TARA_052"
"TARA_009_9.00",24.4828,NA,"2009-09-28 12:18:00",5.916,39.1633,9,"EPI","TARA_009"
"TARA_098_5.00",25.181,200.4084,"2011-04-03 13:44:00",-111.7202,-25.8051,5,"EPI","TARA_098"
"18 (Section GA02, Cruise PE319)_51.00",18.93,214,"2010-05-22 13:07:00",-58.0503,33.4334,51,"EPI","18 (Section GA02, Cruise PE319)"
"GT8 (Section GP13, Cruise TAN1109)_5100.00",1.043,200.1,"2011-06-14 04:11:00",-164.9812,-32.515,5100,"ABY","GT8 (Section GP13, Cruise TAN1109)"
"GT4 (Section GP13, Cruise TAN1109)_101.00",18.876,221.7,"2011-06-12 07:26:00",-169.0023,-32.499,101,"EPI","GT4 (Section GP13, Cruise TAN1109)"
"7 (Section GA02, Cruise JC057)_50.00",19.736,231.6,"2011-03-12 01:56:00",-41.1248,-37.8305,50,"EPI","7 (Section GA02, Cruise JC057)"
"3 reoccupied (Section GA10, Cruise D357)_6.30",16.49,240.0976,"2010-11-12 07:08:00",13.2196,-36.4495,6.3,"EPI","3 reoccupied (Section GA10, Cruise D357)"
"20 (Section GA03, Cruise KN204)_183.80",18.195,162.6,"2011-12-03 23:12:00",-35.867,22.3331,183.8,"EPI","20 (Section GA03, Cruise KN204)"
"6 (Section GA03, Cruise KN204)_39.60",23.395,207.7,"2011-11-15 06:20:00",-68.3895,37.6073,39.6,"EPI","6 (Section GA03, Cruise KN204)"
"BATS (Section NA, Cruise BATS178)_180.00",18.685,NA,"2003-07-15 00:00:00",-64.16,31.66,180,"EPI","BATS (Section NA, Cruise BATS178)"
"8 (Section GA02, Cruise JC057)_11.00",22.088,220.4,"2011-03-13 13:43:00",-39.431,-35.0093,11,"EPI","8 (Section GA02, Cruise JC057)"
"32 (Section GP13, Cruise SS2011)_76.80",19.996,NA,"2011-05-29 16:18:17",-176.03,-32.4995,76.8,"EPI","32 (Section GP13, Cruise SS2011)"
"32 (Section GP13, Cruise SS2011)_48.90",19.998,NA,"2011-05-29 16:18:17",-176.03,-32.4995,48.9,"EPI","32 (Section GP13, Cruise SS2011)"
"10 (Section GA03, Cruise KN199-4)_51.80",17.94,97.1,"2010-10-30 03:06:00",-20.8167,17.3516,51.8,"EPI","10 (Section GA03, Cruise KN199-4)"
"BATS (Section NA, Cruise BATS184)_40.00",20.315,219.8,"2004-01-27 00:00:00",-64.16,31.66,40,"EPI","BATS (Section NA, Cruise BATS184)"
"14 (Section GA03, Cruise KN204)_99.00",21.882,216.4,"2011-11-26 15:01:00",-49.633,27.5831,99,"EPI","14 (Section GA03, Cruise KN204)"
"20 (Section GA03, Cruise KN204)_1055.20",6.143,160.4,"2011-12-03 23:12:00",-35.867,22.3331,1055.2,"BAT","20 (Section GA03, Cruise KN204)"
"32 (Section GP13, Cruise SS2011)_29.30",20.078,NA,"2011-05-29 16:18:17",-176.03,-32.4995,29.3,"EPI","32 (Section GP13, Cruise SS2011)"
"1 (Section GA10, Cruise D357)_51.40",17.537,238.9268,"2010-10-19 06:14:00",17.0699,-34.629,51.4,"EPI","1 (Section GA10, Cruise D357)"
"Station ALOHA (Section NA, Cruise HOT155)_100.00",23.7477,NA,"2004-01-21 00:00:00",-158,22.75,100,"EPI","Station ALOHA (Section NA, Cruise HOT155)"
"Station ALOHA (Section NA, Cruise HOT160)_175.00",21.3394,NA,"2004-06-15 00:00:00",-158,22.75,175,"EPI","Station ALOHA (Section NA, Cruise HOT160)"
"6 (Section GA10, Cruise D357)_6.00",10.728,276.0976,"2010-10-29 18:23:00",0.8876,-40.0194,6,"EPI","6 (Section GA10, Cruise D357)"
"21 (Section GA02, Cruise PE321)_10.00",23.793,198.8,"2010-06-13 00:53:00",-64.167,31.6667,10,"EPI","21 (Section GA02, Cruise PE321)"
"BATS (Section NA, Cruise BATS191)_120.00",20.873,NA,"2004-08-17 00:00:00",-64.16,31.66,120,"EPI","BATS (Section NA, Cruise BATS191)"
"6 (Section GA03, Cruise KN204)_64.60",23.418,207.5,"2011-11-15 06:20:00",-68.3895,37.6073,64.6,"EPI","6 (Section GA03, Cruise KN204)"
"32_3199.00",2.2513,230.776,"2011-01-24 00:00:00",-21.43,-26.91,3199,"BAT","32"
"13_4003.00",2.0165,231.2535,"2010-12-29 00:00:00",-26,7.33,4003,"BAT","13"
"74_3996.00",0.9479,180.6806,"2011-03-23 00:00:00",135.19,-39.23,3996,"BAT","74"
"10_4002.00",2.0429,216.9404,"2010-12-26 00:00:00",-26,14.52,4002,"BAT","10"
"TARA_111_90.00",19.7833,208.5489,"2011-05-31 20:28:00",-100.6751,-16.9587,90,"EPI","TARA_111"
"GT15 (Section GP13, Cruise TAN1109)_1008.00",4.949,200.4,"2011-06-17 20:11:00",-158.028,-32.5125,1008,"MES","GT15 (Section GP13, Cruise TAN1109)"
"GT8 (Section GP13, Cruise TAN1109)_1023.00",5.032,204.4,"2011-06-14 04:11:00",-164.9812,-32.515,1023,"MES","GT8 (Section GP13, Cruise TAN1109)"
"29 (Section GP13, Cruise SS2011)_1001.50",5.19,NA,"2011-05-28 11:09:40",-179.125,-32.4995,1001.5,"MES","29 (Section GP13, Cruise SS2011)"
"GT19 (Section GP13, Cruise TAN1109)_1008.00",4.913,202.4,"2011-06-19 22:18:00",-154.0042,-32.4948,1008,"MES","GT19 (Section GP13, Cruise TAN1109)"
"7_4005.00",2.0182,228.6143,"2010-12-23 00:00:00",-23.45,21.51,4005,"BAT","7"
"TARA_033_5.00",27.3097,183.5891,"2010-01-13 07:16:00",38.2517,21.9467,5,"EPI","TARA_033"
"TARA_098_188.00",20.2127,208.821,"2011-04-03 21:50:00",-111.7294,-25.826,188,"EPI","TARA_098"
"TARA_032_5.00",25.8117,188.3419,"2010-01-11 07:21:00",37.2183,23.36,5,"EPI","TARA_032"
"TARA_151_80.00",16.747,228.1165,"2012-03-09 17:42:00",-28.9373,36.1811,80,"EPI","TARA_151"
"TARA_099_5.00",23.8893,203.3798,"2011-04-09 13:56:00",-104.787,-21.146,5,"EPI","TARA_099"
"TARA_030_5.00",20.4425,207.6136,"2009-12-15 10:41:00",32.898,33.9179,5,"EPI","TARA_030"
"TARA_132_550.00",6.6344,131.9794,"2011-10-05 20:45:00",-159.0224,31.528,550,"MES","TARA_132"
"10 (Section GA03, Cruise KN204)_89.10",22.116,219.8,"2011-11-19 19:31:00",-64.175,31.7535,89.1,"EPI","10 (Section GA03, Cruise KN204)"
"Station ALOHA (Section NA, Cruise HOT152)_175.00",21.4187,NA,"2003-10-14 00:00:00",-158,22.75,175,"EPI","Station ALOHA (Section NA, Cruise HOT152)"
"31 (Section GA02, Cruise PE321)_8.00",29.158,207.2,"2010-06-24 15:06:00",-56.2685,16.8312,8,"EPI","31 (Section GA02, Cruise PE321)"
"6 (Section GA10, Cruise D357)_76.20",10.186,270.1463,"2010-10-29 18:23:00",0.8876,-40.0194,76.2,"EPI","6 (Section GA10, Cruise D357)"
"2 (Section GP13, Cruise SS2011)_99.00",23.512,NA,"2011-05-15 01:28:38",154.004,-30.0019,99,"EPI","2 (Section GP13, Cruise SS2011)"
"BATS (Section NA, Cruise BATS252)_100.00",24.501,NA,"2009-11-07 00:00:00",-64.16,31.66,100,"EPI","BATS (Section NA, Cruise BATS252)"
"15 (Section GA02, Cruise PE319)_151.00",16.73,186.7,"2010-05-18 13:22:00",-50.6855,37.5673,151,"EPI","15 (Section GA02, Cruise PE319)"
"36 (Section GP13, Cruise SS2011)_49.80",19.564,NA,"2011-06-01 12:02:53",-171.999,-32.4998,49.8,"EPI","36 (Section GP13, Cruise SS2011)"
"10 (Section GA03, Cruise KN199-4)_86.60",15.23,60.6,"2010-10-30 03:06:00",-20.8167,17.3516,86.6,"EPI","10 (Section GA03, Cruise KN199-4)"
"26 (Section GP13, Cruise SS2011)_51.20",20.671,NA,"2011-05-26 22:16:59",178,-31.5988,51.2,"EPI","26 (Section GP13, Cruise SS2011)"
"33 (Section GA02, Cruise PE321)_200.00",17.576,120,"2010-06-26 12:25:00",-53.4215,13.1623,200,"EPI","33 (Section GA02, Cruise PE321)"
"35 (Section GA02, Cruise PE321)_201.00",11.985,96.1,"2010-06-28 14:16:00",-50.4686,9.5462,201,"EPI","35 (Section GA02, Cruise PE321)"
"BATS (Section NA, Cruise BATS191)_1.00",28.522,NA,"2004-08-17 00:00:00",-64.16,31.66,1,"EPI","BATS (Section NA, Cruise BATS191)"
"17 (Section GA02, Cruise PE319)_199.00",17.398,209.2,"2010-05-21 13:30:00",-55.4316,34.3277,199,"EPI","17 (Section GA02, Cruise PE319)"
"Station ALOHA (Section NA, Cruise HOT158)_25.00",23.7724,NA,"2004-04-20 00:00:00",-158,22.75,25,"EPI","Station ALOHA (Section NA, Cruise HOT158)"
"2 (Section GA10, Cruise D357)_51.10",17.945,237.2683,"2010-10-20 10:08:00",14.9064,-35.3669,51.1,"EPI","2 (Section GA10, Cruise D357)"
"12 (Section GA03, Cruise KN199-4)_91.60",20.59,165.5,"2010-11-02 09:05:00",-24.4998,17.3998,91.6,"EPI","12 (Section GA03, Cruise KN199-4)"
"GT5 (Section GP13, Cruise TAN1109)_30.00",19.69,217.9,"2011-06-12 16:59:00",-168.002,-32.495,30,"EPI","GT5 (Section GP13, Cruise TAN1109)"
"32 (Section GP13, Cruise SS2011)_14.90",20.118,NA,"2011-05-29 16:18:17",-176.03,-32.4995,14.9,"EPI","32 (Section GP13, Cruise SS2011)"
"12 (Section GA02, Cruise PE319)_100.00",14.859,222.7,"2010-05-12 20:39:00",-39.658,46.312,100,"EPI","12 (Section GA02, Cruise PE319)"
"11 (Section GA10, Cruise D357)_91.50",13.558,252,"2010-11-15 02:37:00",7.7251,-39.2555,91.5,"EPI","11 (Section GA10, Cruise D357)"
"6 (Section GA02, Cruise JC057)_10.00",21.256,223.5,"2011-03-11 02:17:00",-42.4232,-39.9648,10,"EPI","6 (Section GA02, Cruise JC057)"
"11 (Section GA10, Cruise D357)_6.10",13.833,253.7561,"2010-11-15 02:37:00",7.7251,-39.2555,6.1,"EPI","11 (Section GA10, Cruise D357)"
"12 (Section GA03, Cruise KN199-4)_2.00",NA,NA,"2010-11-02 07:57:00",-24.4998,17.4,2,"EPI","12 (Section GA03, Cruise KN199-4)"
"5 (Section GA10, Cruise D357)_66.30",11.695,262.9268,"2010-10-27 19:24:00",5.5272,-40.0627,66.3,"EPI","5 (Section GA10, Cruise D357)"
"2 (Section GP13, Cruise SS2011)_51.70",23.501,NA,"2011-05-15 01:28:38",154.004,-30.0019,51.7,"EPI","2 (Section GP13, Cruise SS2011)"
"BATS (Section NA, Cruise BATS184)_1.00",20.336,220,"2004-01-27 00:00:00",-64.16,31.66,1,"EPI","BATS (Section NA, Cruise BATS184)"
"2 (Section GP13, Cruise SS2011)_30.80",23.485,NA,"2011-05-15 01:28:38",154.004,-30.0019,30.8,"EPI","2 (Section GP13, Cruise SS2011)"
"15 (Section GA02, Cruise PE319)_201.00",16.75,206.5,"2010-05-18 13:22:00",-50.6855,37.5673,201,"EPI","15 (Section GA02, Cruise PE319)"
"3 reoccupied (Section GA10, Cruise D357)_40.70",16.275,239.5122,"2010-11-12 07:08:00",13.2196,-36.4495,40.7,"EPI","3 reoccupied (Section GA10, Cruise D357)"
"4 (Section GA02, Cruise JC057)_10.00",16.967,247.6,"2011-03-09 03:22:00",-45.5265,-44.7117,10,"EPI","4 (Section GA02, Cruise JC057)"
"4 (Section GA03, Cruise KN204)_111.10",23.745,205.8,"2011-11-12 14:57:00",-68.8755,38.3243,111.1,"EPI","4 (Section GA03, Cruise KN204)"
"10 (Section GA02, Cruise JC057)_50.00",20.131,240.3,"2011-03-15 23:40:00",-35.8078,-29.0538,50,"EPI","10 (Section GA02, Cruise JC057)"
"38 (Section GP13, Cruise SS2011)_100.30",17.727,NA,"2011-05-31 18:10:31",-170,-32.5001,100.3,"EPI","38 (Section GP13, Cruise SS2011)"
"1 (Section GP13, Cruise SS2011)_49.80",23.305,NA,"2011-05-14 10:37:58",153.501,-29.9982,49.8,"EPI","1 (Section GP13, Cruise SS2011)"
"14 (Section GA03, Cruise KN204)_285.00",17.668,197.9,"2011-11-26 15:01:00",-49.633,27.5831,285,"MES","14 (Section GA03, Cruise KN204)"
"18 (Section GA02, Cruise PE319)_201.00",18.116,202.7,"2010-05-22 13:07:00",-58.0503,33.4334,201,"EPI","18 (Section GA02, Cruise PE319)"
"Station ALOHA (Section NA, Cruise HOT144)_175.00",19.8944,NA,"2003-01-17 00:00:00",-158,22.75,175,"EPI","Station ALOHA (Section NA, Cruise HOT144)"
"14 (Section GA03, Cruise KN204)_40.10",25.357,204.9,"2011-11-26 15:01:00",-49.633,27.5831,40.1,"EPI","14 (Section GA03, Cruise KN204)"
"23 (Section GA02, Cruise PE321)_87.00",22.002,215.6,"2010-06-16 00:22:00",-67.5015,28.0905,87,"EPI","23 (Section GA02, Cruise PE321)"
"GT14 (Section GP13, Cruise TAN1109)_32.00",19.52,217.8,"2011-06-17 01:54:00",-159.0193,-32.4637,32,"EPI","GT14 (Section GP13, Cruise TAN1109)"
"36 (Section GP13, Cruise SS2011)_15.10",19.696,NA,"2011-06-01 12:02:53",-171.999,-32.4998,15.1,"EPI","36 (Section GP13, Cruise SS2011)"
"GT15 (Section GP13, Cruise TAN1109)_100.00",18.326,215.7,"2011-06-17 14:06:00",-157.9945,-32.495,100,"EPI","GT15 (Section GP13, Cruise TAN1109)"
"GT10 (Section GP13, Cruise TAN1109)_75.00",19.471,218.5,"2011-06-15 11:03:00",-162.9935,-32.5063,75,"EPI","GT10 (Section GP13, Cruise TAN1109)"
"16 (Section GA02, Cruise PE319)_50.00",18.327,214.2,"2010-05-20 13:30:00",-53.2681,36.2067,50,"EPI","16 (Section GA02, Cruise PE319)"
"11 (Section GA10, Cruise D357)_21.40",13.678,253.2683,"2010-11-15 02:37:00",7.7251,-39.2555,21.4,"EPI","11 (Section GA10, Cruise D357)"
"18 (Section GA02, Cruise PE319)_151.00",18.314,203.9,"2010-05-22 13:07:00",-58.0503,33.4334,151,"EPI","18 (Section GA02, Cruise PE319)"
"10 (Section GA02, Cruise PE319)_101.00",10.667,239.1,"2010-05-10 12:13:00",-42.4467,49.7225,101,"EPI","10 (Section GA02, Cruise PE319)"
"16 (Section GA03, Cruise KN204)_284.80",17.261,194.7,"2011-11-30 03:40:00",-44.8262,26.1369,284.8,"MES","16 (Section GA03, Cruise KN204)"
"Station ALOHA (Section NA, Cruise HOT145)_175.00",20.0317,NA,"2003-02-25 00:00:00",-158,22.75,175,"EPI","Station ALOHA (Section NA, Cruise HOT145)"
"1 (Section GA10, Cruise D357)_21.10",17.915,241.6585,"2010-10-19 06:14:00",17.0699,-34.629,21.1,"EPI","1 (Section GA10, Cruise D357)"
"17 (Section GA02, Cruise PE319)_152.00",17.436,212.2,"2010-05-21 13:30:00",-55.4316,34.3277,152,"EPI","17 (Section GA02, Cruise PE319)"
"22 (Section GP13, Cruise SS2011)_50.40",21.139,NA,"2011-05-24 15:11:38",174.001,-30.0013,50.4,"EPI","22 (Section GP13, Cruise SS2011)"
"2 (Section GA02, Cruise JC057)_51.00",7.839,293,"2011-03-06 19:40:00",-48.7933,-48.9358,51,"EPI","2 (Section GA02, Cruise JC057)"
"20 (Section GA03, Cruise KN204)_99.70",22.44,211.6,"2011-12-03 23:12:00",-35.867,22.3331,99.7,"EPI","20 (Section GA03, Cruise KN204)"
"GT2 (Section GP13, Cruise TAN1109)_103.00",19.083,221.1,"2011-06-10 22:48:00",-170.9953,-32.4967,103,"EPI","GT2 (Section GP13, Cruise TAN1109)"
"20 (Section GA03, Cruise KN204)_374.30",14.843,154.6,"2011-12-03 23:12:00",-35.867,22.3331,374.3,"MES","20 (Section GA03, Cruise KN204)"
"12 (Section GA03, Cruise KN199-4)_50.40",24,212.2,"2010-11-02 09:05:00",-24.4998,17.3998,50.4,"EPI","12 (Section GA03, Cruise KN199-4)"
"7 (Section GA02, Cruise JC057)_9.00",20.258,228,"2011-03-12 01:56:00",-41.1248,-37.8305,9,"EPI","7 (Section GA02, Cruise JC057)"
"2 (Section GA02, Cruise JC057)_11.00",11.272,280.6,"2011-03-06 19:40:00",-48.7933,-48.9358,11,"EPI","2 (Section GA02, Cruise JC057)"
"BATS (Section NA, Cruise BATS193)_100.00",19.706,NA,"2004-10-13 00:00:00",-64.16,31.66,100,"EPI","BATS (Section NA, Cruise BATS193)"
"GT13 (Section GP13, Cruise TAN1109)_72.00",18.651,222.3,"2011-06-16 16:16:00",-160.0078,-32.5103,72,"EPI","GT13 (Section GP13, Cruise TAN1109)"
"12 (Section GA02, Cruise PE319)_73.00",14.888,222.5,"2010-05-12 20:39:00",-39.658,46.312,73,"EPI","12 (Section GA02, Cruise PE319)"
"1 (Section GA10, Cruise D357)_60.90",17.025,232.1951,"2010-10-19 06:14:00",17.0699,-34.629,60.9,"EPI","1 (Section GA10, Cruise D357)"
"18 (Section GA03, Cruise KN204)_184.00",19.438,195.4,"2011-12-01 17:25:00",-40.2179,24.1497,184,"EPI","18 (Section GA03, Cruise KN204)"
"BATS (Section NA, Cruise BATS178)_10.00",28.331,NA,"2003-07-15 00:00:00",-64.16,31.66,10,"EPI","BATS (Section NA, Cruise BATS178)"
"67_4004.00",0.9869,174.3169,"2011-11-03 00:00:00",110.18,-31.16,4004,"BAT","67"
"GT3 (Section GP13, Cruise TAN1109)_1012.00",5.161,199.1,"2011-06-11 14:02:00",-169.991,-32.4875,1012,"MES","GT3 (Section GP13, Cruise TAN1109)"
"32 (Section GP13, Cruise SS2011)_999.90",5.315,NA,"2011-05-29 16:18:17",-176.03,-32.4995,999.9,"MES","32 (Section GP13, Cruise SS2011)"
"BATS (Section NA, Cruise BATS176)_100.00",19.797,211.6,"2003-05-20 00:00:00",-64.16,31.66,100,"EPI","BATS (Section NA, Cruise BATS176)"
"24 (Section GA03, Cruise KN204)_234.50",13.458,74.5,"2011-12-10 08:27:00",-24.5,17.4,234.5,"MES","24 (Section GA03, Cruise KN204)"
"TARA_152_5.00",14.3168,242.8405,"2012-03-19 08:18:00",-16.8344,43.6792,5,"EPI","TARA_152"
"TARA_152_25.00",14.2913,241.1573,"2012-03-20 08:48:00",-16.8794,43.7056,25,"EPI","TARA_152"
"4 (Section GA02, Cruise JC057)_51.00",11.899,251,"2011-03-09 03:22:00",-45.5265,-44.7117,51,"EPI","4 (Section GA02, Cruise JC057)"
"GT18 (Section GP13, Cruise TAN1109)_51.00",19.234,218.4,"2011-06-19 06:47:00",-154.9993,-32.4995,51,"EPI","GT18 (Section GP13, Cruise TAN1109)"
"14 (Section GA03, Cruise KN204)_133.70",20.306,206.6,"2011-11-26 15:01:00",-49.633,27.5831,133.7,"EPI","14 (Section GA03, Cruise KN204)"
"BATS (Section NA, Cruise BATS187)_1.00",19.909,NA,"2004-04-21 00:00:00",-64.16,31.66,1,"EPI","BATS (Section NA, Cruise BATS187)"
"GT9 (Section GP13, Cruise TAN1109)_76.00",19.329,219.8,"2011-06-14 16:46:00",-163.9897,-32.5043,76,"EPI","GT9 (Section GP13, Cruise TAN1109)"
"25 (Section GA02, Cruise PE321)_119.00",21.297,204.9,"2010-06-17 19:56:00",-67.0726,24.7143,119,"EPI","25 (Section GA02, Cruise PE321)"
"GT10 (Section GP13, Cruise TAN1109)_15.00",19.463,218.6,"2011-06-15 11:03:00",-162.9935,-32.5063,15,"EPI","GT10 (Section GP13, Cruise TAN1109)"
"27 (Section GA02, Cruise PE321)_75.00",23.674,211.2,"2010-06-19 21:44:00",-63.5833,22.3411,75,"EPI","27 (Section GA02, Cruise PE321)"
"BATS (Section NA, Cruise BATS173)_180.00",14.935,NA,"2003-02-21 00:00:00",-64.16,31.66,180,"EPI","BATS (Section NA, Cruise BATS173)"
"22 (Section GA03, Cruise KN204)_389.40",12.793,123.1,"2011-12-07 11:25:00",-29.3832,19.4334,389.4,"MES","22 (Section GA03, Cruise KN204)"
"15 (Section GP13, Cruise SS2011)_13.80",22.166,NA,"2011-05-21 16:06:42",166.987,-30,13.8,"EPI","15 (Section GP13, Cruise SS2011)"
"BATS (Section NA, Cruise BATS186)_180.00",19.701,NA,"2004-03-23 00:00:00",-64.16,31.66,180,"EPI","BATS (Section NA, Cruise BATS186)"
"12 (Section GA02, Cruise PE319)_198.00",14.188,210.8,"2010-05-12 20:39:00",-39.658,46.312,198,"EPI","12 (Section GA02, Cruise PE319)"
"GT2 (Section GP13, Cruise TAN1109)_75.00",19.283,220.3,"2011-06-10 22:48:00",-170.9953,-32.4967,75,"EPI","GT2 (Section GP13, Cruise TAN1109)"
"GT7 (Section GP13, Cruise TAN1109)_102.00",19.283,219.5,"2011-06-13 12:49:00",-165.9988,-32.4985,102,"EPI","GT7 (Section GP13, Cruise TAN1109)"
"3 reoccupied (Section GA10, Cruise D357)_80.90",14.562,247.8049,"2010-11-12 07:08:00",13.2196,-36.4495,80.9,"EPI","3 reoccupied (Section GA10, Cruise D357)"
"29 (Section GP13, Cruise SS2011)_74.70",20.71,NA,"2011-05-28 11:09:40",-179.125,-32.4995,74.7,"EPI","29 (Section GP13, Cruise SS2011)"
"18 (Section GA02, Cruise PE319)_76.00",18.643,214.2,"2010-05-22 13:07:00",-58.0503,33.4334,76,"EPI","18 (Section GA02, Cruise PE319)"
"1 (Section GA02, Cruise JC057)_10.00",9.995,287.1,"2011-03-05 20:56:00",-52.6885,-49.5475,10,"EPI","1 (Section GA02, Cruise JC057)"
"20 (Section GA03, Cruise KN204)_499.60",12.725,159.1,"2011-12-03 23:12:00",-35.867,22.3331,499.6,"MES","20 (Section GA03, Cruise KN204)"
"BATS (Section NA, Cruise BATS192)_1.00",28.253,NA,"2004-09-14 00:00:00",-64.16,31.66,1,"EPI","BATS (Section NA, Cruise BATS192)"
"BATS (Section NA, Cruise BATS175)_10.00",21.854,NA,"2003-04-22 00:00:00",-64.16,31.66,10,"EPI","BATS (Section NA, Cruise BATS175)"
"BATS (Section NA, Cruise BATS181)_80.00",21.324,NA,"2003-10-07 00:00:00",-64.16,31.66,80,"EPI","BATS (Section NA, Cruise BATS181)"
"21 (Section GA02, Cruise PE321)_75.00",18.713,219,"2010-06-13 00:53:00",-64.167,31.6667,75,"EPI","21 (Section GA02, Cruise PE321)"
"11 (Section GA02, Cruise PE319)_101.00",14.688,220.8,"2010-05-11 13:26:00",-39.399,47.8007,101,"EPI","11 (Section GA02, Cruise PE319)"
"36 (Section GP13, Cruise SS2011)_100.30",17.184,NA,"2011-06-01 12:02:53",-171.999,-32.4998,100.3,"EPI","36 (Section GP13, Cruise SS2011)"
"17 (Section GA02, Cruise PE319)_77.00",17.855,213.3,"2010-05-21 13:30:00",-55.4316,34.3277,77,"EPI","17 (Section GA02, Cruise PE319)"
"3 (Section GA10, Cruise D357)_59.80",12.478,261.8537,"2010-10-23 03:39:00",13.276,-36.4846,59.8,"EPI","3 (Section GA10, Cruise D357)"
"3 reoccupied (Section GA10, Cruise D357)_100.90",14.204,246.8293,"2010-11-12 07:08:00",13.2196,-36.4495,100.9,"EPI","3 reoccupied (Section GA10, Cruise D357)"
"BATS (Section NA, Cruise BATS185)_1.00",20.214,NA,"2004-02-24 00:00:00",-64.16,31.66,1,"EPI","BATS (Section NA, Cruise BATS185)"
"BATS (Section NA, Cruise BATS186)_60.00",19.889,226.2,"2004-03-23 00:00:00",-64.16,31.66,60,"EPI","BATS (Section NA, Cruise BATS186)"
"9 (Section GA10, Cruise D357)_71.60",17.992,233.6585,"2010-11-10 12:29:00",16.0769,-34.8953,71.6,"EPI","9 (Section GA10, Cruise D357)"
"1 (Section GA10, Cruise D357)_6.10",17.951,241.2683,"2010-10-19 06:14:00",17.0699,-34.629,6.1,"EPI","1 (Section GA10, Cruise D357)"
"Station ALOHA (Section NA, Cruise HOT165)_175.00",18.3604,NA,"2004-11-10 00:00:00",-158,22.75,175,"EPI","Station ALOHA (Section NA, Cruise HOT165)"
"7 (Section GA03, Cruise KN199-4)_72.90",22.81,213.2,"2010-10-24 11:14:00",-22.0001,24.0001,72.9,"EPI","7 (Section GA03, Cruise KN199-4)"
"Station ALOHA (Section NA, Cruise HOT148)_115.00",22.7178,NA,"2003-05-20 00:00:00",-158,22.75,115,"EPI","Station ALOHA (Section NA, Cruise HOT148)"
"11 (Section GA10, Cruise D357)_51.20",13.578,253.2683,"2010-11-15 02:37:00",7.7251,-39.2555,51.2,"EPI","11 (Section GA10, Cruise D357)"
"18 (Section GA02, Cruise PE319)_9.00",20.566,212.3,"2010-05-22 13:07:00",-58.0503,33.4334,9,"EPI","18 (Section GA02, Cruise PE319)"
"2 (Section GA10, Cruise D357)_101.90",17.785,227.6098,"2010-10-20 10:08:00",14.9064,-35.3669,101.9,"EPI","2 (Section GA10, Cruise D357)"
"1 (Section GA02, Cruise JC057)_49.00",8.3,288.4,"2011-03-05 20:56:00",-52.6885,-49.5475,49,"EPI","1 (Section GA02, Cruise JC057)"
"16 (Section GA02, Cruise PE319)_74.00",18.069,205.2,"2010-05-20 13:30:00",-53.2681,36.2067,74,"EPI","16 (Section GA02, Cruise PE319)"
"10 (Section GA02, Cruise PE319)_152.00",9.877,228,"2010-05-10 12:13:00",-42.4467,49.7225,152,"EPI","10 (Section GA02, Cruise PE319)"
"2 (Section GP13, Cruise SS2011)_15.50",23.49,NA,"2011-05-15 01:28:38",154.004,-30.0019,15.5,"EPI","2 (Section GP13, Cruise SS2011)"
"BATS (Section NA, Cruise BATS188)_10.00",23.272,NA,"2004-05-18 00:00:00",-64.16,31.66,10,"EPI","BATS (Section NA, Cruise BATS188)"
"2 (Section GA10, Cruise D357)_21.30",17.941,237.8537,"2010-10-20 10:08:00",14.9064,-35.3669,21.3,"EPI","2 (Section GA10, Cruise D357)"
"1 (Section GA03, Cruise KN204)_109.90",14.399,144.8,"2011-11-08 10:56:00",-69.8629,39.6923,109.9,"EPI","1 (Section GA03, Cruise KN204)"
"3 reoccupied (Section GA10, Cruise D357)_21.10",16.481,240,"2010-11-12 07:08:00",13.2196,-36.4495,21.1,"EPI","3 reoccupied (Section GA10, Cruise D357)"
"1 (Section GP13, Cruise SS2011)_15.00",23.28,NA,"2011-05-14 10:37:58",153.501,-29.9982,15,"EPI","1 (Section GP13, Cruise SS2011)"
"6 (Section GA02, Cruise JC057)_50.00",18.959,234.2,"2011-03-11 02:17:00",-42.4232,-39.9648,50,"EPI","6 (Section GA02, Cruise JC057)"
"11 (Section GP13, Cruise SS2011)_100.80",21.923,NA,"2011-05-19 15:42:38",162.998,-30.0006,100.8,"EPI","11 (Section GP13, Cruise SS2011)"
"8 (Section GA03, Cruise KN204)_68.00",23.074,210.4,"2011-11-16 13:59:00",-66.5408,35.4162,68,"EPI","8 (Section GA03, Cruise KN204)"
"5 (Section GA10, Cruise D357)_51.20",11.702,263.3171,"2010-10-27 19:24:00",5.5272,-40.0627,51.2,"EPI","5 (Section GA10, Cruise D357)"
"GT15 (Section GP13, Cruise TAN1109)_14.00",19.267,218.3,"2011-06-17 14:06:00",-157.9945,-32.495,14,"EPI","GT15 (Section GP13, Cruise TAN1109)"
